,threshold,size,dice
88,0.7,10000,0.5737536069584217
94,0.75,10000,0.5699385662354816
76,0.6,10000,0.5670917052561645
70,0.55,10000,0.5663526529642525
82,0.65,10000,0.5649418703150709
64,0.5,10000,0.5632088575811451
58,0.45,10000,0.559295380943985
81,0.65,5000,0.5590260302578929
87,0.7,5000,0.5586913336269826
100,0.8,10000,0.5539398915757022
52,0.4,10000,0.5538731292502046
93,0.75,5000,0.5530292257805388
46,0.35,10000,0.5489277002421022
40,0.3,10000,0.5483844460587011
99,0.8,5000,0.5478881635038738
75,0.6,5000,0.545851682155839
34,0.25,10000,0.5417845357163247
69,0.55,5000,0.5409825365600973
63,0.5,5000,0.5395647260415458
57,0.45,5000,0.5392086539045561
41,0.3,30000,0.5385368287135861
47,0.35,30000,0.5381047231376781
98,0.8,1200,0.5366065529155777
53,0.4,30000,0.536015793930688
51,0.4,5000,0.5345921888481907
65,0.5,30000,0.5310117496864343
45,0.35,5000,0.5300002663394947
29,0.2,30000,0.529629210622463
86,0.7,1200,0.5286893840858199
71,0.55,30000,0.5286373993749446
35,0.25,30000,0.5271638904189199
39,0.3,5000,0.5271001211970947
59,0.45,30000,0.5270756847514029
92,0.75,1200,0.5269384968478762
106,0.85,10000,0.5269036879575512
28,0.2,10000,0.5258901873882738
105,0.85,5000,0.5239270506521402
23,0.15,30000,0.523026118492794
62,0.5,1200,0.5229484654324069
56,0.45,1200,0.5228116929445886
68,0.55,1200,0.5223759202042036
74,0.6,1200,0.5205443045163802
33,0.25,5000,0.5201429747082663
80,0.65,1200,0.5198086875708374
77,0.6,30000,0.5170133358637182
50,0.4,1200,0.5153420338474771
104,0.85,1200,0.513956718646556
79,0.65,100,0.5126140572227524
22,0.15,10000,0.5120727637072755
73,0.6,100,0.5108800590192184
97,0.8,100,0.5099906385173842
67,0.55,100,0.5095233458523937
44,0.35,1200,0.5076923452443077
91,0.75,100,0.5062407780854762
85,0.7,100,0.5057157010068898
78,0.65,0,0.5047503413296626
38,0.3,1200,0.5046344934050734
84,0.7,0,0.5038296387612766
27,0.2,5000,0.5037022481709648
55,0.45,100,0.5034177554333433
72,0.6,0,0.5029883241224408
61,0.5,100,0.5019688718018778
66,0.55,0,0.5016025398313478
83,0.65,30000,0.501597184109126
90,0.75,0,0.5004428849566566
60,0.5,0,0.5000261706112297
103,0.85,100,0.4986414038046687
32,0.25,1200,0.49826675535439685
49,0.4,100,0.4977917572126528
96,0.8,0,0.4960955681511496
54,0.45,0,0.49546844196451434
26,0.2,1200,0.49409695258706654
48,0.4,0,0.49394889463139074
17,0.1,30000,0.49314670431245883
43,0.35,100,0.4930145913655532
102,0.85,0,0.49286705745167236
21,0.15,5000,0.4926381344704497
37,0.3,100,0.4908708174323582
42,0.35,0,0.48710278433279186
31,0.25,100,0.486453457648542
111,0.9,5000,0.4861911819870149
16,0.1,10000,0.4853707706484563
36,0.3,0,0.4848649717603953
20,0.15,1200,0.48180060786108925
89,0.7,30000,0.47989352911226024
30,0.25,0,0.47644400924237196
110,0.9,1200,0.47443869682146655
15,0.1,5000,0.4706004318609921
25,0.2,100,0.47029496378129176
112,0.9,10000,0.4691080719029767
24,0.2,0,0.46625510103297907
109,0.9,100,0.46333249928801173
19,0.15,100,0.46194384754594975
18,0.15,0,0.45977988859611685
95,0.75,30000,0.4574552072249887
108,0.9,0,0.4557419448728047
14,0.1,1200,0.4497286557354268
13,0.1,100,0.4435969485164973
11,0.05,30000,0.43991377917525437
12,0.1,0,0.4373919623028876
101,0.8,30000,0.42899717993288594
10,0.05,10000,0.4177000462967819
107,0.85,30000,0.41301521805436076
9,0.05,5000,0.41208437352565247
8,0.05,1200,0.40162419725709236
117,0.95,5000,0.40010012473824713
116,0.95,1200,0.3974213605267797
7,0.05,100,0.395966461911691
6,0.05,0,0.3933879855487449
114,0.95,0,0.39282711491426275
115,0.95,100,0.3924780700449956
118,0.95,10000,0.38606439506387097
113,0.9,30000,0.37501276805245665
119,0.95,30000,0.3011879153110972
1,0.0,100,0.28369143194333274
5,0.0,30000,0.28369143194333274
4,0.0,10000,0.28369143194333274
3,0.0,5000,0.28369143194333274
2,0.0,1200,0.28369143194333274
0,0.0,0,0.28369143194333274
