,threshold,size,dice
88,0.7,10000,0.5730317829229492
82,0.65,10000,0.5679899020744369
94,0.75,10000,0.564233039124006
29,0.2,30000,0.5606083922485791
35,0.25,30000,0.5566505641419639
64,0.5,10000,0.5557457200758388
41,0.3,30000,0.5557235718222117
70,0.55,10000,0.5553780271866032
76,0.6,10000,0.5543341318167708
100,0.8,10000,0.5530656772768748
58,0.45,10000,0.5511134709570126
87,0.7,5000,0.5491225547729888
23,0.15,30000,0.5470118478251013
46,0.35,10000,0.5461050413063294
59,0.45,30000,0.5453059275928077
93,0.75,5000,0.5443084398035629
47,0.35,30000,0.5435070453826197
52,0.4,10000,0.5427194717854266
53,0.4,30000,0.5420100498717731
99,0.8,5000,0.5414019528928528
69,0.55,5000,0.5413584451893052
63,0.5,5000,0.5407838484187839
75,0.6,5000,0.539918581123965
81,0.65,5000,0.5388726889442683
40,0.3,10000,0.5354151170492366
57,0.45,5000,0.5327304199131572
51,0.4,5000,0.5311362798129388
34,0.25,10000,0.5303018656717398
45,0.35,5000,0.5298187694792736
65,0.5,30000,0.5297058672253135
92,0.75,1200,0.5244418397037464
39,0.3,5000,0.5240596146964412
86,0.7,1200,0.5236214093173461
98,0.8,1200,0.5228590355353114
74,0.6,1200,0.5220253099513877
28,0.2,10000,0.5213979386259904
80,0.65,1200,0.5210233704292087
71,0.55,30000,0.5205660315501333
68,0.55,1200,0.517999263934431
105,0.85,5000,0.5163491864647901
17,0.1,30000,0.515600072393798
33,0.25,5000,0.5140313277748372
62,0.5,1200,0.5131983906461144
85,0.7,100,0.5128601356297959
77,0.6,30000,0.5124020047886604
56,0.45,1200,0.5097654382723212
97,0.8,100,0.508498807327125
50,0.4,1200,0.5084837242831728
91,0.75,100,0.5070799360015454
79,0.65,100,0.50678116011728
106,0.85,10000,0.5050065394727418
73,0.6,100,0.5045824615364705
27,0.2,5000,0.5042983010668048
104,0.85,1200,0.5040458048049137
22,0.15,10000,0.5032926984522678
84,0.7,0,0.5030556153876768
44,0.35,1200,0.5018880584747588
67,0.55,100,0.5010120719852251
90,0.75,0,0.4993196511645682
61,0.5,100,0.4988105372379857
55,0.45,100,0.4981431326287039
38,0.3,1200,0.4978017749785381
78,0.65,0,0.4969840600927023
49,0.4,100,0.49650229941162966
83,0.65,30000,0.4935776523170534
60,0.5,0,0.4931376725658897
32,0.25,1200,0.4920677752047551
66,0.55,0,0.4911627037819118
72,0.6,0,0.4907507413339457
103,0.85,100,0.49060963291274895
96,0.8,0,0.4887381029172715
21,0.15,5000,0.48852082338827424
54,0.45,0,0.4882285849733245
43,0.35,100,0.48758355844512596
48,0.4,0,0.48651161403999604
37,0.3,100,0.4800342093738886
26,0.2,1200,0.48002202378902914
42,0.35,0,0.47964760771155834
89,0.7,30000,0.4764723427170336
102,0.85,0,0.4751388932069328
110,0.9,1200,0.47481544334617143
111,0.9,5000,0.47423072390885995
16,0.1,10000,0.4730772920564386
31,0.25,100,0.4700456390847223
20,0.15,1200,0.46857263857279974
36,0.3,0,0.4680414933784105
30,0.25,0,0.4640377685325741
15,0.1,5000,0.4626140750788639
112,0.9,10000,0.4612354616503966
25,0.2,100,0.46009459697954913
109,0.9,100,0.4595727574149541
24,0.2,0,0.4580771056307994
19,0.15,100,0.4551999792553288
95,0.75,30000,0.4525876680149043
14,0.1,1200,0.44935096399133134
11,0.05,30000,0.4486155551918345
108,0.9,0,0.44812601244227546
18,0.15,0,0.4432258427716186
101,0.8,30000,0.4321938985488864
13,0.1,100,0.42758095980938204
12,0.1,0,0.4154907253197943
10,0.05,10000,0.4089786842210828
107,0.85,30000,0.4083780661308868
9,0.05,5000,0.39193691547690696
117,0.95,5000,0.3865008307534313
8,0.05,1200,0.3863798930935976
116,0.95,1200,0.38515708946976984
118,0.95,10000,0.38110323097160825
114,0.95,0,0.3808019768653229
115,0.95,100,0.38004066420392657
7,0.05,100,0.37887033106421064
6,0.05,0,0.37643490172648303
113,0.9,30000,0.3677603940510678
119,0.95,30000,0.3148175331040129
1,0.0,100,0.27784502945572215
5,0.0,30000,0.27784502945572215
4,0.0,10000,0.27784502945572215
3,0.0,5000,0.27784502945572215
2,0.0,1200,0.27784502945572215
0,0.0,0,0.27784502945572215
